data,property_id,url
<binary_data_68825_bytes>,29911,https://venda-imoveis.caixa.gov.br/fotos/F878771188028321.jpg
<binary_data_39882_bytes>,29912,https://venda-imoveis.caixa.gov.br/fotos/F878771005223921.jpg
<binary_data_62059_bytes>,29913,https://venda-imoveis.caixa.gov.br/fotos/F878771208385921.jpg
<binary_data_44231_bytes>,29914,https://venda-imoveis.caixa.gov.br/fotos/F144441181223021.jpg
<binary_data_70249_bytes>,29915,https://venda-imoveis.caixa.gov.br/fotos/F855553937392621.jpg
<binary_data_68696_bytes>,29916,https://venda-imoveis.caixa.gov.br/fotos/F855553897828021.jpg
<binary_data_36096_bytes>,29917,https://venda-imoveis.caixa.gov.br/fotos/F000001020810921.jpg
<binary_data_83853_bytes>,29918,https://venda-imoveis.caixa.gov.br/fotos/F844441126003121.jpg
<binary_data_45892_bytes>,29919,https://venda-imoveis.caixa.gov.br/fotos/F878770940044021.jpg
<binary_data_61430_bytes>,29920,https://venda-imoveis.caixa.gov.br/fotos/F855553984214421.jpg
<binary_data_56942_bytes>,29921,https://venda-imoveis.caixa.gov.br/fotos/F855553983403621.jpg
<binary_data_14041_bytes>,29922,https://venda-imoveis.caixa.gov.br/fotos/F144442185176021.jpg
<binary_data_49254_bytes>,29923,https://venda-imoveis.caixa.gov.br/fotos/F844441548440621.jpg
<binary_data_65372_bytes>,29924,https://venda-imoveis.caixa.gov.br/fotos/F178770087824121.jpg
<binary_data_68177_bytes>,29925,https://venda-imoveis.caixa.gov.br/fotos/F178770107549521.jpg
<binary_data_57405_bytes>,29926,https://venda-imoveis.caixa.gov.br/fotos/F178770022082321.jpg
<binary_data_47395_bytes>,29927,https://venda-imoveis.caixa.gov.br/fotos/F844440430045721.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_34018_bytes>,29929,https://venda-imoveis.caixa.gov.br/fotos/F878771132826221.jpg
<binary_data_53953_bytes>,29930,https://venda-imoveis.caixa.gov.br/fotos/F878771427482121.jpg
<binary_data_70182_bytes>,29931,https://venda-imoveis.caixa.gov.br/fotos/F878771268819021.jpg
<binary_data_73613_bytes>,29932,https://venda-imoveis.caixa.gov.br/fotos/F878771076966421.jpg
<binary_data_44317_bytes>,29933,https://venda-imoveis.caixa.gov.br/fotos/F878770917073821.jpg
<binary_data_49529_bytes>,29934,https://venda-imoveis.caixa.gov.br/fotos/F844441624033021.jpg
<binary_data_65416_bytes>,29935,https://venda-imoveis.caixa.gov.br/fotos/F878771071278621.jpg
<binary_data_48428_bytes>,29936,https://venda-imoveis.caixa.gov.br/fotos/F855551976584521.jpg
<binary_data_59512_bytes>,29937,https://venda-imoveis.caixa.gov.br/fotos/F878771473924721.jpg
<binary_data_35159_bytes>,29938,https://venda-imoveis.caixa.gov.br/fotos/F155553042392221.jpg
<binary_data_66455_bytes>,29939,https://venda-imoveis.caixa.gov.br/fotos/F878770967157521.jpg
<binary_data_66687_bytes>,29940,https://venda-imoveis.caixa.gov.br/fotos/F144441749233521.jpg
